label,gry,b,g,r,h,s,v,l,a,bl,gry_std,b_std,g_std,r_std,h_std,s_std,v_std,l_std,a_std,bl_std,gry_min,b_min,g_min,r_min,h_min,s_min,v_min,l_min,a_min,bl_min,orb_gry1,orb_gry2,orb_gry3,orb_gry4,orb_gry5,orb_gry6,orb_gry7,orb_gry8,orb_gry9,orb_gry10,orb_gry11,orb_gry12,orb_gry13,orb_gry14,orb_gry15,orb_gry16,orb_gry17,orb_gry18,orb_gry19,orb_gry20,orb_b1,orb_b2,orb_b3,orb_b4,orb_b5,orb_b6,orb_b7,orb_b8,orb_b9,orb_b10,orb_b11,orb_b12,orb_b13,orb_b14,orb_b15,orb_b16,orb_b17,orb_b18,orb_b19,orb_b20,orb_g1,orb_g2,orb_g3,orb_g4,orb_g5,orb_g6,orb_g7,orb_g8,orb_g9,orb_g10,orb_g11,orb_g12,orb_g13,orb_g14,orb_g15,orb_g16,orb_g17,orb_g18,orb_g19,orb_g20,orb_r1,orb_r2,orb_r3,orb_r4,orb_r5,orb_r6,orb_r7,orb_r8,orb_r9,orb_r10,orb_r11,orb_r12,orb_r13,orb_r14,orb_r15,orb_r16,orb_r17,orb_r18,orb_r19,orb_r20,orb_l1,orb_l2,orb_l3,orb_l4,orb_l5,orb_l6,orb_l7,orb_l8,orb_l9,orb_l10,orb_l11,orb_l12,orb_l13,orb_l14,orb_l15,orb_l16,orb_l17,orb_l18,orb_l19,orb_l20,orb_a1,orb_a2,orb_a3,orb_a4,orb_a5,orb_a6,orb_a7,orb_a8,orb_a9,orb_a10,orb_a11,orb_a12,orb_a13,orb_a14,orb_a15,orb_a16,orb_a17,orb_a18,orb_a19,orb_a20,orb_bl1,orb_bl2,orb_bl3,orb_bl4,orb_bl5,orb_bl6,orb_bl7,orb_bl8,orb_bl9,orb_bl10,orb_bl11,orb_bl12,orb_bl13,orb_bl14,orb_bl15,orb_bl16,orb_bl17,orb_bl18,orb_bl19,orb_bl20,orb_h1,orb_h2,orb_h3,orb_h4,orb_h5,orb_h6,orb_h7,orb_h8,orb_h9,orb_h10,orb_h11,orb_h12,orb_h13,orb_h14,orb_h15,orb_h16,orb_h17,orb_h18,orb_h19,orb_h20,orb_s1,orb_s2,orb_s3,orb_s4,orb_s5,orb_s6,orb_s7,orb_s8,orb_s9,orb_s10,orb_s11,orb_s12,orb_s13,orb_s14,orb_s15,orb_s16,orb_s17,orb_s18,orb_s19,orb_s20,orb_v1,orb_v2,orb_v3,orb_v4,orb_v5,orb_v6,orb_v7,orb_v8,orb_v9,orb_v10,orb_v11,orb_v12,orb_v13,orb_v14,orb_v15,orb_v16,orb_v17,orb_v18,orb_v19,orb_v20
1,87.98838212,43.54398315,103.7417382,73.97959095,45.10355685,148.5155469,103.7418036,102.9732227,105.9469692,157.9458778,10.95444374,9.702141993,11.20402412,12.39125876,2.562967099,18.00823612,11.20435731,11.61500318,1.8408164,4.113930925,45,2,58,31,28,36,58,54,98,141,15,8,6,5,7,7,10,14,16,7,4,11,13,7,14,20,5,5,7,7,3,15,19,11,2,9,19,3,17,18,11,7,13,8,16,15,11,6,14,5,6,27,20,17,8,7,10,3,9,12,17,11,42,10,7,6,16,4,10,7,22,20,10,7,6,19,2,12,25,9,13,25,9,17,14,12,12,7,6,5,13,5,9,13,19,6,9,26,12,8,46,5,7,13,14,13,1,7,22,4,16,6,15,19,5,3,4,3,0,8,0,0,0,1,0,1,4,11,11,1,12,3,7,25,9,3,6,4,31,2,19,0,2,5,5,15,8,0,12,7,0,4,0,2,1,0,0,0,0,2,0,0,1,0,1,1,0,0,2,5,36,13,23,13,50,15,15,31,15,12,23,21,9,20,10,32,19,11,41,35,26,15,18,11,15,10,13,9,18,2,17,3,12,7,5,43,5,4,5,11
0,81.68484668,38.85171121,95.12572042,71.67007182,42.66521441,153.5608785,95.13897547,95.11920613,108.9684775,156.7675656,15.04378989,15.47645813,14.68490966,16.85309194,2.841325717,28.37716008,14.72341001,15.7037855,2.713528029,4.402500253,18,1,23,14,17,18,23,16,99,121,10,17,42,28,5,21,26,24,29,9,22,7,11,17,4,18,22,10,15,21,40,25,19,41,23,13,12,34,8,33,18,16,19,15,16,21,24,22,19,17,17,19,36,23,11,15,8,25,28,7,21,47,49,34,14,8,17,27,13,11,20,22,39,29,18,8,51,15,36,13,11,21,11,21,33,26,10,34,24,5,23,42,14,12,44,30,31,18,9,19,35,12,22,5,22,14,8,25,12,45,1,26,21,27,12,12,19,22,6,3,7,1,0,0,28,0,11,16,12,15,3,10,6,31,20,10,18,18,28,0,51,6,2,5,17,2,18,0,17,18,2,5,3,5,11,9,0,1,7,3,1,2,2,9,7,8,5,3,7,2,29,21,32,29,22,32,12,18,26,28,20,26,17,34,25,33,9,30,12,43,11,16,45,9,24,14,10,17,34,33,15,31,22,55,22,30,10,13,8,11
0,77.27454089,36.94784169,91.40683258,64.88790844,44.74921251,152.9902163,91.41841027,90.73720369,107.8079424,155.736863,11.59897143,9.878106843,12.19777899,12.2955486,2.536586694,18.18749448,12.2387372,12.67661254,2.256773678,3.665266236,13,1,17,7,20,22,17,11,100,130,11,17,26,17,31,15,22,22,15,11,22,7,9,4,16,18,9,19,6,10,21,9,16,14,16,13,18,8,26,17,17,11,11,10,7,17,21,26,10,11,16,17,20,18,28,14,3,12,3,12,5,35,22,22,25,18,16,24,20,27,16,22,9,12,22,27,24,22,13,15,11,16,5,12,21,16,24,17,19,22,24,21,8,21,23,17,18,22,11,21,24,15,10,48,6,23,18,17,3,16,12,15,13,25,17,11,5,15,4,5,28,4,1,13,10,11,7,8,4,17,8,7,11,18,14,10,19,8,31,11,30,9,20,22,17,6,7,0,19,11,0,5,16,3,3,3,1,1,6,8,8,18,7,5,1,2,0,0,4,8,23,22,21,32,27,25,19,20,53,11,16,31,16,19,6,20,21,10,18,51,18,4,15,22,29,12,7,36,21,7,4,12,19,14,23,24,15,27,22,26
1,64.59235595,39.17717825,75.03404133,53.78947217,48.52094054,123.6359926,75.09713348,74.57195648,112.31732,146.5906925,16.42832165,15.09522817,17.21765292,17.09485641,4.651541745,32.36762578,17.47564337,18.40989403,3.849875801,5.805731566,20,1,26,8,20,23,26,19,98,123,26,24,5,3,11,15,20,27,19,0,7,13,10,15,14,31,10,13,11,23,17,32,14,17,4,41,11,82,8,23,12,22,9,13,13,15,35,13,10,40,42,36,13,26,10,16,27,45,19,7,14,15,65,20,18,12,16,6,15,2,36,3,94,15,15,11,38,12,38,11,13,18,19,10,20,12,32,14,13,11,6,14,14,18,16,20,19,45,9,9,33,39,8,3,67,14,14,15,19,59,21,22,28,29,15,11,10,20,25,12,0,0,4,4,20,8,12,17,13,15,28,11,5,10,19,25,31,50,9,2,18,1,2,5,51,6,17,0,12,15,2,15,2,4,2,1,4,3,10,12,0,0,8,2,6,4,7,7,8,8,33,18,28,22,40,12,26,35,9,7,16,9,70,16,21,23,10,28,56,21,47,23,50,21,30,16,19,6,8,58,14,13,15,19,19,29,5,2,31,3
0,80.80695081,30.38536048,97.36187835,67.53157252,43.32035832,179.0914412,97.55364189,96.06097662,105.2490432,161.1870475,16.93251584,17.11198573,16.97640564,18.84758075,3.409406699,30.82848211,17.49440357,17.84809026,4.015925243,5.031858337,19,1,26,8,17,2,26,19,95,125,15,11,23,7,14,18,19,13,10,14,13,12,18,8,33,13,24,21,18,11,16,21,12,42,12,49,12,27,5,8,23,14,26,15,24,14,15,11,8,31,14,9,28,30,9,16,6,28,5,22,27,32,76,15,13,7,10,6,26,16,17,16,34,6,16,20,49,27,33,15,10,36,9,20,9,31,15,14,19,10,14,23,19,24,35,11,27,14,17,10,52,13,13,14,22,27,11,6,11,48,1,13,40,51,21,7,8,11,28,14,1,7,1,7,8,5,13,14,5,5,7,11,21,12,20,8,25,73,20,2,15,6,16,7,14,0,8,1,41,10,2,3,0,2,4,17,6,1,4,11,4,2,4,1,2,2,2,5,3,0,28,23,24,26,20,22,28,23,30,23,25,17,56,24,31,17,7,22,22,28,8,6,61,9,27,20,7,9,25,51,22,7,24,15,12,44,7,17,20,10
1,74.04568477,40.408215,86.11262418,63.220067,45.43921841,134.956501,86.11267181,85.92975279,110.4002921,151.4844268,15.61168655,10.90807265,17.14441024,16.0133567,2.514425879,21.78671511,17.14460487,17.43040781,3.122632096,5.964047545,37,2,48,26,26,17,48,44,98,132,9,16,7,6,7,7,9,28,13,1,12,9,9,18,14,23,4,6,30,20,5,7,17,22,17,15,20,7,24,21,11,13,12,16,10,14,30,19,20,4,1,2,21,16,21,30,5,14,7,2,32,4,43,5,10,7,17,11,38,12,1,24,6,14,16,17,5,40,23,15,34,24,15,17,20,18,6,5,4,13,17,2,28,23,18,11,15,1,29,14,46,8,7,7,11,35,6,12,15,3,0,2,0,4,12,4,2,6,0,7,14,5,1,0,25,6,1,0,0,43,3,0,7,19,17,2,2,0,29,16,32,9,8,7,7,0,1,0,13,15,0,1,5,2,3,5,7,0,3,6,2,9,3,1,1,3,0,3,6,0,30,31,15,29,30,32,22,27,18,22,19,17,11,37,21,25,7,17,33,30,1,7,24,7,16,31,22,14,15,7,33,11,38,1,10,28,9,7,6,11
1,64.80784086,44.86385195,71.62375742,59.04603093,44.5983273,98.88971456,71.70798533,72.81793693,117.3634009,142.4503169,16.99880744,15.98009192,17.17437947,17.66980322,4.82490624,24.06894317,17.51533864,18.88567925,2.304487897,3.444832962,14,2,16,9,11,5,16,11,103,124,11,26,3,18,4,12,25,18,20,6,8,16,8,46,10,30,15,9,7,49,55,31,17,18,12,7,7,24,6,11,15,23,19,31,10,8,12,20,28,52,13,3,18,12,7,46,22,16,26,12,18,15,51,74,7,16,16,6,28,1,9,16,32,24,14,5,107,45,28,18,13,13,13,13,15,20,1,8,8,5,14,13,20,10,13,25,15,7,34,7,12,6,3,7,35,38,13,12,13,127,2,10,41,34,15,12,11,12,10,8,0,1,1,0,17,2,14,20,21,9,6,15,11,25,9,16,52,32,11,0,18,1,2,3,24,2,15,0,19,11,13,1,2,2,2,2,6,2,1,3,0,5,1,8,3,4,13,11,2,1,37,23,17,23,56,20,25,24,21,7,27,24,38,21,23,21,12,14,40,27,15,18,87,24,4,42,14,3,14,42,14,15,32,13,18,18,18,5,7,3
1,73.98450086,26.18450981,90.34021861,60.11175327,44.3239221,182.0203008,90.37134493,88.6574766,105.2545805,160.060233,14.81224152,10.78734153,16.07536616,15.64955241,2.293797543,20.74174923,16.17930377,16.58579342,3.105239025,5.274471503,30,1,40,20,21,56,40,35,95,143,5,7,8,9,13,9,9,3,9,14,39,4,8,17,3,8,4,8,9,9,8,44,8,9,12,24,7,29,6,26,4,2,6,5,31,7,8,10,2,44,4,41,31,44,5,10,5,2,10,4,14,14,126,9,12,9,7,4,7,5,26,8,28,12,5,26,22,17,79,13,5,67,4,5,8,32,2,14,4,4,4,3,11,44,29,20,10,37,12,5,131,2,6,5,11,11,13,5,7,16,8,19,27,25,10,16,19,26,19,1,0,0,0,0,22,3,6,19,12,28,10,5,4,34,33,22,16,50,32,0,29,0,0,1,10,6,7,0,21,22,0,10,0,1,6,9,1,0,7,11,3,0,5,0,2,10,0,0,13,2,9,21,15,82,9,11,12,6,10,9,14,26,89,17,13,16,16,15,19,12,28,6,69,7,48,15,8,3,26,5,7,11,5,6,18,95,3,0,1,6
0,86.29709416,40.56358211,100.8945697,75.08358466,42.97026346,154.5890341,100.922894,100.53067,107.5295929,158.4673353,16.43467031,13.33242637,17.11136978,17.30912454,2.363675319,20.81842608,17.21245482,17.7823622,2.550762405,4.083135388,30,4,38,20,17,39,38,34,99,140,10,5,1,10,11,2,3,9,7,4,5,3,13,6,6,6,5,6,9,8,10,5,18,8,4,9,10,7,9,11,4,13,5,6,15,9,16,5,6,5,2,22,23,24,6,8,6,3,8,6,2,14,13,3,5,14,3,6,5,12,11,9,5,4,16,12,1,22,9,7,15,29,3,13,15,7,6,10,6,10,8,24,6,12,20,8,5,21,14,6,26,3,11,5,3,6,9,5,8,2,2,5,9,16,10,3,2,3,4,1,0,0,0,1,5,3,2,19,2,4,12,6,8,17,4,7,10,11,14,0,19,0,1,0,5,0,2,0,20,13,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,4,0,0,1,0,5,20,40,24,36,36,13,20,35,15,16,23,16,10,12,11,9,41,30,34,16,7,4,4,23,9,8,6,16,0,2,9,3,15,8,30,4,10,4,6
0,95.15517249,32.94868769,113.3012626,83.27432924,41.51821387,182.3994504,113.5206951,112.1348027,104.0693396,166.8562413,19.14737213,16.75148426,18.75818147,23.77938894,4.202135031,28.34803571,19.20354236,19.6534034,4.138156517,7.127033453,19,1,19,23,12,30,26,16,94,137,7,7,29,22,18,23,9,11,4,15,6,9,5,5,11,10,21,14,11,6,14,33,2,16,7,34,21,22,9,29,21,11,21,4,61,14,19,3,2,25,13,34,51,45,11,4,7,9,6,41,7,41,60,11,11,13,6,14,4,10,20,6,22,7,15,26,18,12,35,9,6,62,12,7,17,76,14,24,26,24,3,41,7,27,63,6,16,29,7,44,72,11,8,14,14,7,6,14,2,13,9,12,24,38,22,17,8,8,30,21,5,4,2,16,5,11,20,21,6,7,7,6,19,8,10,25,27,79,2,4,8,8,14,19,29,2,4,2,27,15,1,8,5,5,4,2,1,0,5,11,4,1,5,1,2,6,0,0,5,5,20,14,32,45,29,34,19,19,25,20,11,16,82,16,18,7,21,14,14,20,29,4,39,2,35,4,11,27,57,15,4,21,5,31,14,61,7,8,28,0
